country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
Egypt,EG,Consultations,National Report submitted for the 10th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/egypt-report-of-10th-consultation.pdf,egypt-report-of-10th-consultation.pdf,documents/egypt/r2e002/egypt-report-of-10th-consultation/document.pdf,documents/egypt/r2e002/egypt-report-of-10th-consultation/document.md,0f0be3166d43d6e65a035c40b8accf6fecead1f1964b5a4b5fa9e4a9e3da8a6c,74d7d8193e0e5926fa8ec73399385d79,408787,29,docling+structure-repair
El Salvador,SV,Programme/plan,National Plan on Education for 2021,2021,https://media.unesco.org/sites/default/files/webform/r2e002/026c8a8055f385f35442093f00881ddbdf14d571.pdf,026c8a8055f385f35442093f00881ddbdf14d571.pdf,documents/el-salvador/r2e002/026c8a8055f385f35442093f00881ddbdf14d571/document.pdf,documents/el-salvador/r2e002/026c8a8055f385f35442093f00881ddbdf14d571/document.md,99f7324fccdf76bf3dbca2ba86970b991be132aac908cd56c55c1336d45a9ba7,a514f1e2b98fd7a6d2ad1247b4670914,2863676,39,datalab
Estonia,EE,Law,Adult Education Act - 1993,1993,https://media.unesco.org/sites/default/files/webform/r2e002/1b910d5a1d12a7b9324733dc568f837b595ac816.pdf,1b910d5a1d12a7b9324733dc568f837b595ac816.pdf,documents/estonia/r2e002/1b910d5a1d12a7b9324733dc568f837b595ac816/document.pdf,documents/estonia/r2e002/1b910d5a1d12a7b9324733dc568f837b595ac816/document.md,d956bc14a8f1c5a6c2e840cdf731f12f6cf20a03103a48810b6aa8cf578c71b0,2bf354c3ec8863738f2b626a18bef7db,36927,9,docling+structure-repair
Estonia,EE,Law,Basic Schools and Upper Secondary Schools Act of 2010,2010,https://media.unesco.org/sites/default/files/webform/r2e002/1bd79e74fc5ab87d02dc89264afa95340514f25b.pdf,1bd79e74fc5ab87d02dc89264afa95340514f25b.pdf,documents/estonia/r2e002/1bd79e74fc5ab87d02dc89264afa95340514f25b/document.pdf,documents/estonia/r2e002/1bd79e74fc5ab87d02dc89264afa95340514f25b/document.md,27b15174870a098ec837da6bc9b60506fff40ea29b4f2e7fa85fc037078ddeee,6c8dcc1af042ed76c2bd9371c8983e56,223644,31,docling+structure-repair
Estonia,EE,Law,Vocational Educational Institutions Act - 1998,1998,https://media.unesco.org/sites/default/files/webform/r2e002/7181f7710f82a1bd5c9fe58390e294401cc59377.pdf,7181f7710f82a1bd5c9fe58390e294401cc59377.pdf,documents/estonia/r2e002/7181f7710f82a1bd5c9fe58390e294401cc59377/document.pdf,documents/estonia/r2e002/7181f7710f82a1bd5c9fe58390e294401cc59377/document.md,7ce84dca20a908ba82374b8c5d0cb4013b69cfb07411cbea9eeca32f9155f2a1,18d2b5422357b029796d93c880b6f730,122873,39,docling+structure-repair
Estonia,EE,Law,Universities Act - 1995,1995,https://media.unesco.org/sites/default/files/webform/r2e002/9085065923f24b6a85124cd273400f900aff7061.pdf,9085065923f24b6a85124cd273400f900aff7061.pdf,documents/estonia/r2e002/9085065923f24b6a85124cd273400f900aff7061/document.pdf,documents/estonia/r2e002/9085065923f24b6a85124cd273400f900aff7061/document.md,9307bf68d9bdf90351a8f0f5222da5dc5116b09101d57e7a2952c49909b9e850,a7caa16b0943554ad0034989c56ffcd2,149167,47,docling+structure-repair
Estonia,EE,Law,Gender Equality Act - 2002,2002,https://media.unesco.org/sites/default/files/webform/r2e002/9d14f66fc0d8eee71bac8f7aea3bae8baa7cdbe3.pdf,9d14f66fc0d8eee71bac8f7aea3bae8baa7cdbe3.pdf,documents/estonia/r2e002/9d14f66fc0d8eee71bac8f7aea3bae8baa7cdbe3/document.pdf,documents/estonia/r2e002/9d14f66fc0d8eee71bac8f7aea3bae8baa7cdbe3/document.md,a609e0cb139d2b008f2bceafeca6f33b6f77785fa830d6d788b791f869d02dae,82daa81b1e4a9876839e12dd3cc7eb93,48639,12,docling+structure-repair
Estonia,EE,Law,Education Act - 1992,1992,https://media.unesco.org/sites/default/files/webform/r2e002/bce637b753d5e72e603f2cc2b3c30f6a2cbc661e.pdf,bce637b753d5e72e603f2cc2b3c30f6a2cbc661e.pdf,documents/estonia/r2e002/bce637b753d5e72e603f2cc2b3c30f6a2cbc661e/document.pdf,documents/estonia/r2e002/bce637b753d5e72e603f2cc2b3c30f6a2cbc661e/document.md,f87de67a74826b0a68b2d7fa77744231c96fac466597943d9044019b4abd7f15,40b51036b5128bdc0d3b43c6ee0f2f8b,69299,19,docling+structure-repair
Estonia,EE,Consultations,National Report submitted for the 10th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/estonia-10th-consultation.pdf,estonia-10th-consultation.pdf,documents/estonia/r2e002/estonia-10th-consultation/document.pdf,documents/estonia/r2e002/estonia-10th-consultation/document.md,76922ab344e31c1788aa9ba0c8d254791e6334f796293aaf3752ed3e4edb3f70,6fb361159f862c3479e0f079945a0fc8,264042,30,docling+structure-repair
Estonia,EE,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/estonia_for_publication.pdf,estonia_for_publication.pdf,documents/estonia/r2e002/estonia-for-publication/document.pdf,documents/estonia/r2e002/estonia-for-publication/document.md,675b40011365030af0adfed1187629a3f1cbafb452f071951cd0081bb8131efb,986e4364e2e163c4da5eb6ebc3ddd6d2,426176,30,docling+structure-repair
